id,party_short,color,x,y,z,mu_x,mu_y,width,height,angle
1787,Grüne,#008000,-0.557788944723618,-0.105527638190955,0,-0.58709924512637,-0.096112762838267,0.225818172330011,0.332329514732375,-169.053211926937
1791,SVP,#4F7942,0.527638190954774,-0.457286432160804,0,0.553497773767719,-0.468421780330656,0.219320973890761,0.309647773918485,-170.240967838815
1822,GLP,#32CD32,-0.14572864321608,0.437185929648241,0,-0.161521649905203,0.462025873480611,0.177602630497628,0.356698864923079,-175.832074258105
1845,SP,#FF0000,-0.849246231155779,0.035175879396985,0,-0.824884770863619,0.0330905775590384,0.212257757747277,0.342815560230109,-173.378860093371
1868,FDP,#0000FF,0.316582914572864,0.417085427135678,0,0.313253254632351,0.445183705365723,0.195287026403496,0.344620638404759,176.826694848242
1871,Grüne,#008000,-0.557788944723618,-0.0452261306532663,0,-0.598325651031775,-0.0521029498679123,0.222926383221082,0.32891185379064,-173.398177905007
1883,SVP,#4F7942,0.678391959798995,-0.306532663316583,0,0.696490660867048,-0.319202360485236,0.24539842385794,0.326186363580718,-177.735887093784
1885,Grüne,#008000,-0.668341708542714,-0.165829145728643,0,-0.694427029804455,-0.183799391435096,0.246406617496466,0.324591498792889,-168.612654998404
1893,SP,#FF0000,-0.658291457286432,0.0150753768844221,0,-0.687051828739552,0.0499917926199065,0.240947023940737,0.339720020359711,-161.549503939348
1898,SP,#FF0000,-0.758793969849246,-0.105527638190955,0,-0.751995459509443,-0.104132052954985,0.235035717623163,0.336256611047067,-168.797297644532
1904,SVP,#4F7942,0.819095477386935,-0.135678391959799,0,0.808332973989716,-0.126407176197383,0.217542106231433,0.313759852321429,175.006463446261
1918,Die Mitte,#C56C46,-0.0552763819095478,0.0753768844221106,0,-0.0763633187835369,0.0857623204665197,0.172190991475472,0.287989136749325,-177.811493713633
1919,GLP,#32CD32,-0.477386934673367,0.5678391959799,0,-0.476479867339168,0.569174524393583,0.19202302175708,0.33870712518016,-171.052466712756
1926,SP,#FF0000,-0.748743718592965,-0.115577889447236,0,-0.743483470293365,-0.130897900692757,0.239886131843075,0.336587462799016,-170.851565733781
1927,GLP,#32CD32,-0.236180904522613,0.527638190954774,0,-0.248783787383474,0.541315860928042,0.193831531449642,0.363168556741841,-174.038518057694
1932,GLP,#32CD32,-0.366834170854271,0.447236180904523,0,-0.382499238468212,0.483742562919299,0.184813336846788,0.336044275840995,-173.563220239809
1942,EVP,#FFA500,-0.507537688442211,-0.0753768844221106,0,-0.516081160140844,-0.0700266822172564,0.210623162048453,0.329577869456691,-174.632371538236
1948,SP,#FF0000,-0.49748743718593,-0.175879396984925,0,-0.514581390143411,-0.190097857940354,0.208601304607973,0.304346847115248,-178.943947417331
1955,Die Mitte,#C56C46,-0.0753768844221106,-0.0251256281407035,0,-0.0582699831049089,-0.0205918396637962,0.167817605871017,0.296440379652288,-178.02003280255
1964,SVP,#4F7942,0.587939698492462,-0.326633165829146,0,0.607650113080845,-0.328123140270059,0.240002892609004,0.305736454936955,172.472845301194
1982,GLP,#32CD32,-0.085427135678392,0.396984924623116,0,-0.0964579673025873,0.407990390907629,0.18799960767104,0.35314489505427,-177.591165446409
1994,SVP,#4F7942,0.869346733668342,-0.366834170854271,0,0.839220345202682,-0.370572284140963,0.199560174896014,0.332925063882747,-177.700276164211
2010,Grüne,#008000,-0.85929648241206,-0.266331658291457,0,-0.835470435343795,-0.276386756780633,0.208615168269198,0.344908915149794,-179.638973568769
2019,SP,#FF0000,-0.849246231155779,-0.0251256281407035,0,-0.817717307824542,-0.0036774142646994,0.215772830259346,0.334040730301287,-172.759423386289
2044,SP,#FF0000,-0.798994974874372,0.0452261306532664,0,-0.788164275851679,0.0409506475849187,0.228938404216666,0.342107337447584,-173.522706367744
2060,EVP,#FFA500,-0.28643216080402,-0.085427135678392,0,-0.295366600950312,-0.0854270411723304,0.189877337770049,0.321688131093335,-176.143223753562
2111,Die Mitte,#C56C46,0.0251256281407035,0.246231155778895,0,0.0262784882710282,0.259398001607072,0.179563750942067,0.32104638227851,179.965944837781
2112,GLP,#32CD32,-0.326633165829146,0.517587939698493,0,-0.319757276821832,0.528548872523955,0.169077804967324,0.335127782886743,-173.374448286539
2129,EVP,#FFA500,-0.165829145728643,-0.125628140703518,0,-0.17429136187558,-0.124865492431082,0.174636960054261,0.305627316492149,-179.346112892342
2132,Grüne,#008000,-0.638190954773869,-0.35678391959799,0,-0.678508992058279,-0.360794724993136,0.249759884286682,0.343018751374018,175.957881911241
2150,SVP,#4F7942,0.256281407035176,-0.366834170854271,0,0.258109130273589,-0.383894828329053,0.185317535509641,0.298255829609614,-174.737976795124
2172,Grüne,#008000,-0.608040201005025,-0.366834170854271,0,-0.638381276738405,-0.355511577752101,0.23394556206072,0.340114252078245,174.656742187883
2177,Grüne,#008000,-0.728643216080402,-0.00502512562814073,0,-0.745168743102425,-0.0285967998176566,0.238086238056117,0.350705293316318,-174.299732859345
2189,GLP,#32CD32,-0.336683417085427,0.577889447236181,0,-0.333369759505539,0.591455047402103,0.172571154816324,0.341963788107451,-172.488546671439
2201,GLP,#32CD32,-0.386934673366834,0.517587939698493,0,-0.396463946185541,0.528523094071137,0.189630821329619,0.336659835535001,-171.776400910108
2217,Die Mitte,#C56C46,0.155778894472362,-0.175879396984925,0,0.155888844020229,-0.171797826890467,0.18842111372906,0.290415868151,179.141960803623
2219,SP,#FF0000,-0.527638190954774,-0.195979899497487,0,-0.544325473809411,-0.190810992192569,0.221139589504047,0.322958836833178,-179.582883236494
2232,GLP,#32CD32,-0.386934673366834,0.5678391959799,0,-0.389763898197517,0.591384863738684,0.187354464788316,0.339975739850568,-170.197941097715
2236,EVP,#FFA500,-0.306532663316583,-0.0753768844221106,0,-0.31162095412925,-0.0370075054931729,0.179713464485374,0.30109310721228,-173.902459255986
2245,SVP,#4F7942,0.758793969849246,-0.266331658291457,0,0.762412881787284,-0.266162509187367,0.227464860426923,0.317810530997543,178.88203180139
2246,Grüne,#008000,-0.678391959798995,-0.185929648241206,0,-0.715872649069637,-0.19981044736573,0.23920075228369,0.353755041889879,-177.050674336096
2253,SP,#FF0000,-0.718592964824121,-0.135678391959799,0,-0.733385073242093,-0.146041994433951,0.234938055934604,0.33646179215904,-171.34274492642
2260,SVP,#4F7942,0.849246231155779,-0.266331658291457,0,0.829132171043752,-0.267599386863253,0.208978005401765,0.337391856932078,178.559705370868
2263,Die Mitte,#C56C46,-0.035175879396985,-0.0954773869346733,0,-0.0255705092838618,-0.0818864777196595,0.163570039715211,0.294006196225398,178.680444800674
2273,SVP,#4F7942,0.668341708542714,-0.21608040201005,0,0.680962568438472,-0.205736517649072,0.23198289742251,0.302618093987689,172.037333050338
2278,SP,#FF0000,-0.658291457286432,-0.246231155778894,0,-0.696340423469294,-0.244906763645519,0.233668034741841,0.33293514291,-176.872011356857
2281,GLP,#32CD32,-0.35678391959799,0.447236180904523,0,-0.360400079256011,0.480467508036195,0.182848813586528,0.331970644156921,-173.114783874618
2293,SP,#FF0000,-0.658291457286432,-0.185929648241206,0,-0.689329875578768,-0.202082918130214,0.242007807795037,0.340974380589066,-179.770193599444
2298,Grüne,#008000,-0.688442211055276,-0.175879396984925,0,-0.701617955516314,-0.175581746550624,0.242713249513361,0.328911258078986,-172.034009140901
2312,SVP,#4F7942,0.587939698492462,-0.296482412060301,0,0.60017304484619,-0.303465399115296,0.222660498008124,0.301303438932817,-178.355328744672
2316,GLP,#32CD32,-0.0653266331658291,0.537688442211055,0,-0.0734376613267948,0.563037675751868,0.173491721378849,0.342738707787492,-178.566787746444
2320,SP,#FF0000,-0.668341708542714,0.085427135678392,0,-0.685550192274757,0.118354469379692,0.245092701638067,0.351838899830858,-165.85514434714
2322,EVP,#FFA500,0.0150753768844221,-0.417085427135678,0,0.01176017602869,-0.442970225991754,0.175450168823229,0.280643033073868,-179.181323002143
2331,GLP,#32CD32,-0.407035175879397,0.457286432160804,0,-0.429034971877534,0.472103944802894,0.184629273487418,0.347213532737866,-169.700696296675
2334,SVP,#4F7942,0.608040201005025,-0.135678391959799,0,0.616568096765503,-0.127645741201825,0.241268015955082,0.3157073113725,167.070820321744
2338,SVP,#4F7942,0.417085427135678,-0.195979899497487,0,0.450625498151508,-0.145128606621031,0.211552895757903,0.332662237755923,179.519114746098
2339,EVP,#FFA500,-0.417085427135678,-0.115577889447236,0,-0.430456783577956,-0.0956057653432158,0.1972458350483,0.320752697113474,-167.299432786205
2341,Grüne,#008000,-0.768844221105528,-0.276381909547739,0,-0.780999561661457,-0.297741932121549,0.233874027421457,0.358869026374531,179.597641590897
2346,Grüne,#008000,-0.688442211055276,-0.326633165829146,0,-0.729946673163744,-0.341979243606627,0.242518591248822,0.347701418758721,-179.708622741051
2367,Grüne,#008000,-0.628140703517588,0.206030150753769,0,-0.657508074206717,0.22470190820694,0.251454861597752,0.389411202449232,-170.354886677602
2371,GLP,#32CD32,-0.49748743718593,0.296482412060302,0,-0.502106408496353,0.296189631000007,0.204189508211078,0.342841246261557,-170.879539858558
