,answer_32214,answer_32215,answer_32268,answer_32245,x,y,mu_x,mu_y,width,height,angle
84,0,3,1,-1,-0.195979899,-0.75879397,-0.368817711,-0.330466769,0.743834915,0.923070282,-148.8058237
85,0,3,2,0,-0.366834171,-1,-0.489893167,-0.341280127,0.629854292,0.936579818,-161.4039576
86,0,3,2,1,-0.27638191,-1,-0.317292034,-0.397381298,0.705084983,0.934342953,-145.8342548
87,0,3,2,2,-0.015075377,-0.979899497,-0.143982213,-0.449642725,0.706137308,0.913123525,-135.1235113
88,0,3,2,3,0.095477387,-0.849246231,0.061237599,-0.502957002,0.671709972,0.801733977,-136.4359695
89,0,3,2,-1,-0.025125628,-0.989949749,-0.246008693,-0.412824817,0.739467631,0.986402383,-131.2033911
90,0,3,3,0,-0.246231156,-1,-0.212118811,-0.654765053,0.555240861,0.662856807,-82.94131148
91,0,3,3,1,-0.155778894,-1,-0.018669368,-0.650690394,0.550716696,0.74842348,-85.57371199
92,0,3,3,2,-0.005025126,-1,0.111805296,-0.647430493,0.547411,0.702477755,-84.59527457
93,0,3,3,3,0.185929648,-1,0.238204956,-0.644486255,0.546141626,0.65877025,-83.30476094
94,0,3,3,-1,0.055276382,-1,0.094403275,-0.647768579,0.54970371,0.781923959,-86.31649954
95,0,3,-1,0,-0.728643216,-0.336683417,-0.555866842,-0.26319411,0.595237811,0.924316632,-169.7616852
96,0,3,-1,1,-0.336683417,-0.497487437,-0.415804036,-0.302613206,0.692733617,0.925036506,-157.8878534
97,0,3,-1,2,-0.055276382,-0.658291457,-0.25963263,-0.346237606,0.732524699,0.93889601,-143.2078511
98,0,3,-1,3,0.025125628,-0.708542714,-0.031390107,-0.409309837,0.698234485,0.886922359,-142.0384928
99,0,3,-1,-1,-0.507537688,-0.427135678,-0.372202006,-0.314361911,0.752696429,0.966884712,-142.7911862
100,0,-1,0,0,-0.688442211,-0.286432161,-0.540597655,-0.197347131,0.620447544,0.917872239,-177.8843132
101,0,-1,0,1,-0.336683417,-0.326633166,-0.395776507,-0.205431447,0.739564902,0.899534439,-179.0463617
102,0,-1,0,2,-0.065326633,-0.316582915,-0.236614855,-0.208456871,0.812374651,0.88168606,174.3889012
103,0,-1,0,3,0.015075377,-0.306532663,-0.013966807,-0.208767223,0.757857007,0.865660298,163.8753289
104,0,-1,0,-1,-0.447236181,-0.316582915,-0.348226382,-0.201518739,0.846561081,0.896255515,179.4930942
105,0,-1,1,0,-0.577889447,-0.427135678,-0.479240086,-0.267441105,0.672198047,0.927471902,-169.4898597
106,0,-1,1,1,-0.306532663,-0.778894472,-0.2816657,-0.297303712,0.815230405,0.916688344,-148.6137005
107,0,-1,1,2,-0.005025126,-0.527638191,-0.090322178,-0.319681036,0.831291813,0.907878995,-126.3785101
108,0,-1,1,3,0.095477387,-0.407035176,0.135974288,-0.340843714,0.797938655,0.83271679,-155.0511451
109,0,-1,1,-1,-0.055276382,-0.587939698,-0.187420478,-0.302258758,0.854538409,0.986536748,-115.2745008
110,0,-1,2,0,-0.316582915,-1,-0.413547935,-0.325096467,0.714602744,0.947771245,-157.2628161
111,0,-1,2,1,-0.185929648,-0.989949749,-0.143102007,-0.381385925,0.806587875,0.994848149,-122.2502064
112,0,-1,2,2,-0.005025126,-0.909547739,0.065489308,-0.421414927,0.781291116,0.94347291,-115.9416787
113,0,-1,2,3,0.256281407,-0.658291457,0.275046871,-0.450918172,0.748286239,0.80274742,-123.3773821
114,0,-1,2,-1,0.206030151,-0.718592965,-0.005269952,-0.399698006,0.800415428,1.058314836,-111.4089506
115,0,-1,3,0,-0.195979899,-1,-0.1025326,-0.620975184,0.582530467,0.748269038,-76.40070123
116,0,-1,3,1,-0.065326633,-1,0.20164951,-0.596879193,0.597442838,0.858007622,-79.86605438
117,0,-1,3,2,0.065326633,-0.979899497,0.32393777,-0.586743706,0.6006504,0.768443814,-76.12479601
118,0,-1,3,3,0.457286432,-0.83919598,0.440846657,-0.577157113,0.601845012,0.687041227,-65.46940555
119,0,-1,3,-1,0.35678392,-0.859296482,0.335195358,-0.585676828,0.604151308,0.81735703,-78.72165746
120,0,-1,-1,0,-0.658291457,-0.316582915,-0.495316523,-0.241135964,0.676740257,0.934460529,-168.858961
121,0,-1,-1,1,-0.336683417,-0.427135678,-0.273918906,-0.285275448,0.821539069,0.979220197,-135.378948
122,0,-1,-1,2,-0.005025126,-0.537688442,-0.06144572,-0.326669105,0.817569805,1.004999738,-123.6886201
123,0,-1,-1,3,0.256281407,-0.618090452,0.192303953,-0.375842449,0.773553511,0.918121859,-132.3873672
124,0,-1,-1,-1,-0.256281407,-0.447236181,-0.161358175,-0.306559198,0.838738552,1.08248213,-117.5819722
125,1,0,0,0,-0.216080402,0.025125628,-0.226365641,0.167554341,0.702626641,0.930600557,-174.5031962
126,1,0,0,1,-0.105527638,-0.005025126,0.004032842,0.161289454,0.817507174,0.929693965,174.5954732
127,1,0,0,2,0.015075377,-0.035175879,0.153858579,0.157680648,0.760011151,0.93362444,170.0758852
128,1,0,0,3,0.256281407,-0.025125628,0.297935753,0.165090038,0.687738062,0.938521341,168.5735741
129,1,0,0,-1,0.145728643,-0.045226131,0.131667132,0.165871528,0.847227944,0.935950924,164.0922024
130,1,0,1,0,-0.095477387,-0.175879397,-0.153985358,0.063340727,0.725918669,0.998895723,-165.3923019
131,1,0,1,1,0.165829146,-0.316582915,0.134652705,0.015874857,0.845154609,0.999154908,-161.5834757
132,1,0,1,2,0.195979899,-0.286432161,0.27382055,-0.00786547,0.772869891,0.982983545,-174.1646607
133,1,0,1,3,0.316582915,-0.145728643,0.404142362,-0.020874395,0.687234853,0.983100116,-179.8136097
134,1,0,1,-1,0.256281407,-0.216080402,0.272485228,-0.001008832,0.838139469,0.993118816,-166.9965137
