,index,party,color,party_id,yays,nays
1207,3321,CVP,#FFA500,3,36,39
1208,3322,CVP,#FFA500,3,41,34
1209,3323,CVP,#FFA500,3,43,32
1210,3324,CVP,#FFA500,3,34,41
1212,3328,SP,#FF0000,1,47,28
1213,3329,BDP,#800020,5,46,29
1214,3330,SP,#FF0000,1,45,30
1215,3331,SP,#FF0000,1,45,30
1216,3332,SP,#FF0000,1,48,27
1217,3333,SP,#FF0000,1,45,30
1219,3335,SVP,#006400,0,28,47
1220,3336,SVP,#006400,0,28,47
1221,3338,FDP,#4169E1,2,41,34
1222,3339,FDP,#4169E1,2,35,40
1223,3340,FDP,#4169E1,2,37,38
1224,3341,SVP,#006400,0,26,49
1225,3343,SVP,#006400,0,32,43
1226,3345,SP,#FF0000,1,49,26
1227,3346,FDP,#4169E1,2,36,39
1228,3347,FDP,#4169E1,2,30,45
1229,3348,FDP,#4169E1,2,32,43
1230,3349,CVP,#FFA500,3,38,37
1231,3350,CVP,#FFA500,3,35,40
1232,3351,SP,#FF0000,1,45,30
1233,3352,SVP,#006400,0,35,40
1235,3359,SVP,#006400,0,37,38
1236,3360,CVP,#FFA500,3,39,36
1237,3362,FDP,#4169E1,2,37,38
1238,3363,glp,#32CD32,6,53,22
1239,3364,SP,#FF0000,1,46,29
1240,3365,Grüne,#008000,4,48,27
1241,3366,BDP,#800020,5,50,25
1242,3374,CVP,#FFA500,3,32,43
1243,3380,Grüne,#008000,4,42,33
1244,3381,Grüne,#008000,4,49,26
1245,3382,BDP,#800020,5,39,36
1246,3383,glp,#32CD32,6,42,33
1248,3385,glp,#32CD32,6,49,26
1249,3386,glp,#32CD32,6,44,31
1250,3387,Grüne,#008000,4,41,34
1251,3388,Grüne,#008000,4,44,31
1252,3389,SVP,#006400,0,38,37
1253,3392,Grüne,#008000,4,43,32
1254,3395,Grüne,#008000,4,40,35
1255,3396,glp,#32CD32,6,39,36
1257,3398,BDP,#800020,5,42,33
1258,3399,glp,#32CD32,6,47,28
1260,3401,glp,#32CD32,6,49,26
1261,3402,glp,#32CD32,6,48,27
1262,3404,Grüne,#008000,4,38,37
1263,3405,CVP,#FFA500,3,37,38
1264,3406,FDP,#4169E1,2,30,45
1265,3408,CVP,#FFA500,3,40,35
1266,3409,CVP,#FFA500,3,37,38
1267,3410,CVP,#FFA500,3,33,42
1268,3411,CVP,#FFA500,3,48,27
1269,3412,CVP,#FFA500,3,34,41
1270,3413,CVP,#FFA500,3,23,52
1271,3418,SP,#FF0000,1,46,29
1272,3419,SP,#FF0000,1,49,26
