candidate_id,index,party,color,party_id,yays,nays,x,y
111,1270,BDP,#800020,5,49,26,-0.467884210020187,0.434838759686579
112,1275,Grüne,#008000,4,47,28,0.826379120157787,0.99655692756231
113,1276,Grüne,#008000,4,46,29,1.02994327489354,-0.84072928765702
114,1281,Grüne,#008000,4,39,36,1.17878413953028,-0.111535623106529
115,1284,BDP,#800020,5,41,34,-0.467123365287184,-0.508341271919532
117,1290,Grüne,#008000,4,45,30,1.82783493916313,0.725049454000163
118,1294,Grüne,#008000,4,45,30,1.21318777742522,-0.386981690789846
119,1295,SVP,#006400,0,34,41,-0.396557459867396,-1.62046448010339
120,1300,FDP,#4169E1,2,30,45,-1.56548188341945,0.489242782378238
121,1304,CVP,#FFA500,3,36,39,-0.815944123398322,0.0163467778470674
123,1313,BDP,#800020,5,43,32,-0.249484775323998,0.361444095161304
124,1314,SP,#FF0000,1,45,30,1.80494697679782,0.561925586446703
125,1315,SP,#FF0000,1,48,27,1.69467501405809,1.11565419108973
127,1319,SVP,#006400,0,30,45,-1.8930069625052,-0.670198194656549
128,1320,FDP,#4169E1,2,38,37,-1.21995261892497,1.10297197010795
129,1321,FDP,#4169E1,2,35,40,-0.923158166068511,0.0449597158062596
130,1333,SVP,#006400,0,26,49,-1.91812546685935,-0.664512090738265
131,1351,FDP,#4169E1,2,36,39,0.0231633964094777,-0.999384028103809
132,1352,FDP,#4169E1,2,38,37,-0.0166789968791417,-1.4297449911841
133,1364,FDP,#4169E1,2,36,39,-1.18701092166576,0.807450980576319
134,1366,glp,#32CD32,6,44,31,-0.612726885784839,1.38578441425041
135,1371,SVP,#006400,0,38,37,-0.626183712124147,-1.07057500235933
136,1374,SVP,#006400,0,33,42,-0.285605792861294,-2.16882734846049
137,1375,SVP,#006400,0,42,33,-0.226921267517758,-1.49241553401851
139,1391,glp,#32CD32,6,46,29,-0.402591508762838,1.69222580278122
140,1393,glp,#32CD32,6,45,30,-0.309433746158227,1.35395319589961
141,1399,Grüne,#008000,4,42,33,1.41915590544892,-0.439674938392163
142,1405,Grüne,#008000,4,40,35,1.03986893708759,-0.410497399689028
143,1407,CVP,#FFA500,3,37,38,-0.338550817685353,-0.346556311731488
144,1408,Grüne,#008000,4,44,31,2.14882762144215,0.269274714608245
146,1410,FDP,#4169E1,2,32,43,-1.90269855272481,1.86871297468056
147,1411,FDP,#4169E1,2,42,33,-0.57855392589563,0.863971737445542
148,1412,FDP,#4169E1,2,34,41,-1.42967045081983,1.02812843050647
149,1417,CVP,#FFA500,3,38,37,-0.0012065678881647,-0.280297621916978
150,1426,CVP,#FFA500,3,34,41,-0.185610561185426,-0.206953126022438
151,1427,glp,#32CD32,6,50,25,0.137291466040284,2.44132104944945
152,1428,SP,#FF0000,1,46,29,1.50715446958522,0.315948193743626
153,1429,SP,#FF0000,1,45,30,1.43170989201204,-0.351246154757055
154,1430,SP,#FF0000,1,47,28,1.63183988721049,0.156353760565602
155,1431,SP,#FF0000,1,46,29,2.16759906328345,0.719830282954523
157,1434,FDP,#4169E1,2,26,49,-1.79316581712159,0.384909785287135
159,1447,CVP,#FFA500,3,38,37,0.0658021587049167,-0.861653390541606
160,1448,CVP,#FFA500,3,38,37,-0.175741664448151,0.293822392669669
161,1454,FDP,#4169E1,2,36,39,-0.858461615324317,1.14562042664324
162,1456,SP,#FF0000,1,44,31,1.74083248926656,0.203454702665207
164,1463,FDP,#4169E1,2,40,35,-0.58479510968824,0.878385291407734
165,1464,Grüne,#008000,4,48,27,0.630025422554057,0.530218033970298
166,1479,Grüne,#008000,4,49,26,1.05937394757552,-0.15116927594629
169,1509,Grüne,#008000,4,47,28,1.81332887606657,0.940337130483129
170,1515,Grüne,#008000,4,45,30,2.04840301818223,0.517721977059416
172,1530,Grüne,#008000,4,45,30,1.51444575964992,-0.0746772365602576
173,1532,CVP,#FFA500,3,33,42,-0.684698380245973,0.350885948429699
175,1541,BDP,#800020,5,40,35,-0.419065157354811,0.35125763171331
176,1542,BDP,#800020,5,41,34,-0.170380307699179,-0.400434842029362
179,1546,SP,#FF0000,1,45,30,1.19705250834076,-0.604844558107915
181,1548,SP,#FF0000,1,46,29,1.67078438663637,0.76529393415737
182,1549,FDP,#4169E1,2,32,43,-0.389078545229142,-0.0015461435185378
183,1550,Grüne,#008000,4,45,30,0.979128295451514,-0.199341529275614
184,1553,glp,#32CD32,6,49,26,-0.187351148426701,1.30659571061173
185,1568,SP,#FF0000,1,55,20,0.644078655961037,0.383174045451176
186,1569,FDP,#4169E1,2,33,42,-1.38403133087555,1.4687963493809
188,1592,SVP,#006400,0,41,34,-0.496179975553604,-0.688768488342249
189,1600,CVP,#FFA500,3,34,41,-0.178624027986315,-0.768113865336615
190,1611,glp,#32CD32,6,47,28,-0.466974367259954,1.0914103810769
191,1616,Grüne,#008000,4,41,34,1.72871128253512,-0.461507714219637
192,1618,Grüne,#008000,4,44,31,1.82337091965539,-0.459409473782265
193,1620,SVP,#006400,0,24,51,-0.889755041264763,-1.19715550328046
195,1622,glp,#32CD32,6,38,37,-1.18024094636238,2.21818066519616
196,1625,Grüne,#008000,4,43,32,1.10225036035552,-0.376899739823748
197,1626,CVP,#FFA500,3,37,38,0.0241051867899608,-0.154835852757486
199,1628,CVP,#FFA500,3,35,40,-0.341011693207927,-0.396508228208187
200,1629,CVP,#FFA500,3,37,38,-0.153289429253445,-0.322396152971838
201,1638,BDP,#800020,5,54,21,-0.12472083971387,-0.536759560914058
202,1639,SP,#FF0000,1,49,26,1.66440647951727,1.3153738094453
203,1640,SP,#FF0000,1,48,27,1.53563278944489,1.29602927537484
204,1645,SVP,#006400,0,36,39,-0.119633332285888,-1.30391684428461
205,1652,CVP,#FFA500,3,35,40,0.0150141132583092,-0.0316154239656649
207,1664,SVP,#006400,0,40,35,-0.646950078049632,-1.680219177888
208,1682,SVP,#006400,0,38,37,0.155103467452825,-2.43709915753146
209,1688,glp,#32CD32,6,51,24,0.302405052792877,1.78966828962039
210,1690,SP,#FF0000,1,48,27,1.77730180733244,1.03707349596056
211,1697,glp,#32CD32,6,50,25,-0.281530634663255,2.08650176627696
212,1700,Grüne,#008000,4,46,29,1.46586974195378,0.495084090501879
213,1704,Grüne,#008000,4,48,27,1.63247780010991,1.27728186780542
214,1706,glp,#32CD32,6,48,27,0.0333204295992032,1.07364585861452
215,1709,SVP,#006400,0,40,35,-0.439182287771767,-1.78777147122061
217,1714,SVP,#006400,0,40,35,-0.774894537171333,-1.4429692684028
219,1716,Grüne,#008000,4,46,29,2.04390327128814,-0.363182737151537
221,1718,FDP,#4169E1,2,31,44,-1.01739250939883,0.877622260236338
222,1719,FDP,#4169E1,2,38,37,-0.831645048955119,1.00748286869368
223,1721,Grüne,#008000,4,42,33,1.78862424657624,-0.297380438311209
225,1728,BDP,#800020,5,37,38,-0.645300838787114,0.456369530532909
226,1729,BDP,#800020,5,41,34,-0.325847536717574,0.347908656524
227,1730,BDP,#800020,5,44,31,-0.568878750138316,0.443714228985666
228,1731,SP,#FF0000,1,44,31,0.853796622287987,0.17748469497706
229,1732,SP,#FF0000,1,46,29,1.95059561009119,0.719807795307504
230,1733,SP,#FF0000,1,43,32,1.3745312088895,-0.016345231004366
231,1734,SP,#FF0000,1,43,32,1.09080881097411,-0.762699611115167
232,1735,SP,#FF0000,1,48,27,1.03249958075326,0.9130679212548
233,1736,SP,#FF0000,1,42,33,1.54207148879975,-0.345373811161199
234,1737,SVP,#006400,0,23,52,-1.2071562390153,-1.24816736195246
235,1739,glp,#32CD32,6,44,31,-0.529850188164214,1.89476947092442
236,1749,CVP,#FFA500,3,42,33,0.0342379397111984,0.271231092947004
237,1750,Grüne,#008000,4,45,30,2.21596697430233,0.355469686453942
238,1751,SP,#FF0000,1,47,28,1.05953155546919,0.22252391177088
240,1754,FDP,#4169E1,2,37,38,-1.01184871365872,0.533905248430093
242,1758,SVP,#006400,0,37,38,-1.25205196959022,-1.01727065814148
243,1759,BDP,#800020,5,40,35,-0.507514222587653,-0.124926856585513
244,1765,glp,#32CD32,6,47,28,-0.492974624513228,2.04597865339261
245,1767,BDP,#800020,5,32,43,-0.159039945446941,-0.800913188173352
246,1769,SP,#FF0000,1,45,30,1.70006568297426,-0.503265252427121
248,1780,glp,#32CD32,6,43,32,-0.645206899155092,1.51322862921143
249,1781,glp,#32CD32,6,40,35,-0.359900392393317,0.488515601913249
250,1785,Grüne,#008000,4,45,30,1.01122722379627,-0.601065133759254
251,1786,SVP,#006400,0,44,31,-0.719070835451312,-0.39180587392287
253,1788,glp,#32CD32,6,47,28,-0.424025175812251,2.37885233503116
254,1790,FDP,#4169E1,2,24,51,-1.34301019378279,1.12117150438133
255,1791,CVP,#FFA500,3,42,33,0.0091477110822876,-0.302070925798743
257,1798,CVP,#FFA500,3,49,26,0.12437186654279,-1.56851944299437
258,1800,CVP,#FFA500,3,43,32,-0.305147494599373,0.138898455991024
259,1801,BDP,#800020,5,45,30,1.20448230459515,0.241582899206449
260,1802,SP,#FF0000,1,48,27,1.92006917756034,1.30516788393423
261,1803,SP,#FF0000,1,47,28,0.980821983028008,0.0780790039099603
262,1804,SP,#FF0000,1,43,32,2.17492226620353,-0.205026789399464
263,1805,SP,#FF0000,1,46,29,1.67074887944421,0.663472461976219
264,1806,SP,#FF0000,1,45,30,1.36677605683991,0.06841945219912
265,1807,SP,#FF0000,1,47,28,1.29961162054785,1.44939516948256
266,1808,SP,#FF0000,1,54,21,0.802952169111332,-0.299914879348147
267,1809,SP,#FF0000,1,48,27,1.37716309533163,0.575945383657343
268,1810,FDP,#4169E1,2,34,41,-0.645007410223101,0.111892727918124
269,1811,SVP,#006400,0,25,50,-1.53292670223906,-1.47729818003838
270,1813,FDP,#4169E1,2,54,21,-0.278954364426151,-0.986132183060317
272,1817,glp,#32CD32,6,48,27,0.197763044778881,0.609834168242359
273,1818,glp,#32CD32,6,45,30,-0.321203107302337,1.20328803588668
274,1819,glp,#32CD32,6,40,35,-0.800996659449497,1.26474952172938
276,1825,FDP,#4169E1,2,34,41,-1.22762896773011,1.14559989813434
277,1827,SVP,#006400,0,33,42,-0.379100597556421,-1.53400331712123
280,1838,glp,#32CD32,6,49,26,-0.57894575662136,1.97309497505614
281,1840,SP,#FF0000,1,49,26,0.836729021673247,0.170320066181
283,1849,SVP,#006400,0,40,35,-0.758457094502071,-1.12964433155917
285,1858,Grüne,#008000,4,50,25,1.22551428274111,0.77925783740816
286,1860,BDP,#800020,5,42,33,-0.20628203108468,-0.348568380763991
287,1862,Grüne,#008000,4,40,35,-0.0185191907505555,-0.270012783944186
288,1863,Grüne,#008000,4,41,34,1.32461407522968,-0.41177771749867
289,1864,Grüne,#008000,4,45,30,0.813308006102625,-0.0177872205439582
290,1866,BDP,#800020,5,49,26,0.155448446709421,-0.809607645238203
291,1867,BDP,#800020,5,44,31,-0.86941496773297,0.123700077431897
292,1868,glp,#32CD32,6,49,26,0.10814443696795,0.668179272428158
293,1869,Grüne,#008000,4,48,27,0.584230923085506,1.6174677460105
294,1872,SVP,#006400,0,33,42,-0.850260916234204,-1.23815103327167
295,1874,FDP,#4169E1,2,40,35,-0.519120361053669,1.73406761206547
296,1875,FDP,#4169E1,2,33,42,-1.44154749668792,0.449266784283268
298,1879,CVP,#FFA500,3,42,33,0.0136013092560489,-0.657074732591207
299,1883,CVP,#FFA500,3,32,43,-0.444839237457378,-0.699914358545838
301,1885,SP,#FF0000,1,51,24,0.97729696131024,0.0461672488817363
302,1887,glp,#32CD32,6,46,29,-0.496922397276284,2.30600427693177
303,1889,glp,#32CD32,6,50,25,-0.0887039897802114,0.636805118461641
304,1890,glp,#32CD32,6,44,31,-0.0570826929986278,0.205572836047523
305,1891,CVP,#FFA500,3,44,31,-0.172957805108854,0.209381704446644
306,1892,CVP,#FFA500,3,42,33,0.0145042777008102,-0.259149939091324
307,1895,CVP,#FFA500,3,34,41,0.0356502365475434,-0.652037006836161
309,1897,SP,#FF0000,1,44,31,1.37633374183158,-0.0750072282769712
310,1898,SP,#FF0000,1,50,25,0.41811604264829,0.184282341607013
311,1899,CVP,#FFA500,3,31,44,-0.88427187797374,0.468585818588788
312,1900,SP,#FF0000,1,44,31,0.639592916572169,-0.243478113420582
313,1902,FDP,#4169E1,2,37,38,-0.529185996971277,0.28266888451764
314,1905,glp,#32CD32,6,47,28,0.247043386508967,1.41460402001405
315,1911,FDP,#4169E1,2,33,42,-1.67117359929121,0.42345086013565
316,1912,glp,#32CD32,6,46,29,-0.344880983227373,0.401268594888305
317,1922,SP,#FF0000,1,43,32,1.77208635713563,-0.135730477176574
318,1928,SVP,#006400,0,35,40,-1.31371078108289,-0.665662625448123
320,1933,glp,#32CD32,6,52,23,-0.0839006893191991,-0.462401596266392
321,1934,glp,#32CD32,6,45,30,-0.105487632051808,1.7572155251614
323,1936,glp,#32CD32,6,46,29,-0.130288325268778,1.41549540354481
324,1937,glp,#32CD32,6,49,26,-0.284039644381512,2.19611355964806
325,1938,glp,#32CD32,6,39,36,-0.273409847009012,-0.249472048283192
326,1939,Grüne,#008000,4,48,27,1.12299781281769,0.344819562349313
327,1940,BDP,#800020,5,39,36,0.0317640461060975,-0.761236396395355
328,1941,glp,#32CD32,6,46,29,-0.520065595033994,1.3236040070423
329,1944,glp,#32CD32,6,50,25,-0.454830736448669,2.30730572691173
331,1948,BDP,#800020,5,38,37,-0.811667678616279,-0.0876655443909407
332,1949,Grüne,#008000,4,47,28,1.74515172490354,-0.221098175523483
333,1950,SVP,#006400,0,33,42,-0.497847544512537,-1.4637254804099
334,1951,Grüne,#008000,4,47,28,1.10808708854742,0.391667390032784
336,1954,SVP,#006400,0,33,42,-1.51888463023351,-0.163452640693993
337,1955,FDP,#4169E1,2,36,39,-1.24478422960063,1.42629624051178
338,1956,FDP,#4169E1,2,34,41,-0.673763126004336,-0.606518003569437
339,1957,FDP,#4169E1,2,33,42,-1.33172063150374,0.55450968192278
340,1958,FDP,#4169E1,2,26,49,-1.79038823804509,0.969059144338843
341,1961,Grüne,#008000,4,45,30,2.03914348887541,0.348224917053183
342,1962,CVP,#FFA500,3,45,30,-0.0121893995531671,-0.0218399506329918
343,1963,CVP,#FFA500,3,38,37,-0.186880180498718,-1.01560931612888
344,1964,CVP,#FFA500,3,43,32,-0.619689687928977,0.248523454772346
345,1965,FDP,#4169E1,2,38,37,-0.734060086502606,-0.798229725260772
346,1966,FDP,#4169E1,2,31,44,-0.976546956614827,0.1887944585075
347,1968,SP,#FF0000,1,49,26,1.47982839777768,0.710179576226593
348,1969,SP,#FF0000,1,49,26,1.38081680425008,1.13843136810406
351,1972,SP,#FF0000,1,51,24,0.627425489852957,-0.629698661854583
352,1973,SVP,#006400,0,31,44,-0.786152054982573,-1.30687078554247
353,1974,FDP,#4169E1,2,32,43,-1.41878894709104,1.17006081028338
354,1975,SVP,#006400,0,23,52,-1.95184363506983,-0.319219752369644
355,1976,SVP,#006400,0,48,27,-0.245690081476867,-1.26159482081202
356,1977,glp,#32CD32,6,44,31,-0.479684054388533,2.54603232148125
358,1982,FDP,#4169E1,2,40,35,-1.08541908507,0.672769161043305
359,1983,FDP,#4169E1,2,37,38,-1.33036007387739,0.649401350611861
360,1984,CVP,#FFA500,3,39,36,-0.2823528202592,0.06633269666965
361,1985,BDP,#800020,5,30,45,-0.180943969912571,-0.377926196752753
362,1988,FDP,#4169E1,2,52,23,-0.315920787945957,-0.177242015186492
363,1992,glp,#32CD32,6,40,35,-0.616191315903049,1.0483769737475
364,1994,Grüne,#008000,4,50,25,0.92407205988177,0.577345576543963
365,1998,SP,#FF0000,1,44,31,1.63538990055771,-0.0748168834651848
366,1999,glp,#32CD32,6,46,29,-0.583832909046058,1.90376896826106
367,2001,SP,#FF0000,1,51,24,0.388529751557745,-0.721867736413544
369,2003,CVP,#FFA500,3,41,34,-0.118208343082553,0.014075037079273
370,2010,glp,#32CD32,6,48,27,-0.307950444378856,2.56324681393441
371,2011,glp,#32CD32,6,48,27,-0.324585040319579,2.04048362391554
372,2012,glp,#32CD32,6,52,23,0.670778035849111,2.01993756419017
373,2013,glp,#32CD32,6,41,34,-1.0505275097075,2.19556907737121
374,2014,Grüne,#008000,4,44,31,1.12149952741955,0.211802344526884
375,2015,Grüne,#008000,4,45,30,1.72484772450788,-0.152673316713178
376,2017,BDP,#800020,5,55,20,-0.180369255868007,0.584007443653195
377,2018,Grüne,#008000,4,46,29,0.352839700153484,0.885773021970872
378,2020,glp,#32CD32,6,49,26,0.367620258991074,0.560307449172083
379,2022,Grüne,#008000,4,46,29,2.45129619495512,0.74093655661303
380,2023,BDP,#800020,5,33,42,-0.345052034507656,-0.624593121003609
381,2026,CVP,#FFA500,3,38,37,-0.223269050237162,0.126078279773637
383,2028,FDP,#4169E1,2,31,44,-1.50234362531687,0.771803084167091
385,2031,CVP,#FFA500,3,39,36,-0.427603558485617,-0.0563859026454143
386,2032,CVP,#FFA500,3,36,39,-0.373265519497143,-0.0970693718425584
387,2033,CVP,#FFA500,3,36,39,-0.215583566177863,-0.465518320412778
388,2035,CVP,#FFA500,3,30,45,-0.600874419189257,-0.84592632824861
389,2036,SP,#FF0000,1,43,32,1.25438324383338,-0.0244023103617064
390,2037,SP,#FF0000,1,46,29,1.49341598021085,0.115261465117008
391,2038,SP,#FF0000,1,46,29,0.438049769283365,-0.69509342338108
392,2040,glp,#32CD32,6,39,36,-0.170025820204047,-0.135651862364556
394,2042,glp,#32CD32,6,42,33,-0.583957209585279,1.39699093791238
395,2043,glp,#32CD32,6,46,29,-1.06098942258102,2.19734849893862
396,2048,CVP,#FFA500,3,51,24,0.456696614611175,0.797256655000325
397,2049,SVP,#006400,0,38,37,-0.33650377786812,-1.47744237471919
398,2052,SP,#FF0000,1,47,28,1.53077674607127,0.791399487053464
399,2053,SP,#FF0000,1,47,28,0.604930281080206,-0.883074127787476
400,2054,SVP,#006400,0,38,37,-0.552057144447073,-1.11506200513531
402,2058,BDP,#800020,5,47,28,0.436348913605844,-1.36830219606412
403,2060,Grüne,#008000,4,43,32,2.0137160432578,-0.141159561047892
404,2066,glp,#32CD32,6,43,32,-0.399305556633751,0.503807555167832
406,2068,glp,#32CD32,6,40,35,0.104255918530696,0.0707036231460012
407,2072,Grüne,#008000,4,50,25,1.21149919833362,0.905741712997659
408,2073,Grüne,#008000,4,45,30,1.23537274204929,-0.168250766246095
409,2076,Grüne,#008000,4,46,29,0.38566461804482,-0.454447061021996
411,2080,Grüne,#008000,4,39,36,0.915914168866548,-0.558956800881015
413,2082,Grüne,#008000,4,44,31,1.48586809020235,0.157000100164931
415,2084,BDP,#800020,5,38,37,-0.133950241091566,-0.903270728905398
416,2085,glp,#32CD32,6,43,32,-0.735742263938091,1.66228640589676
418,2087,SVP,#006400,0,27,48,-1.33352274449078,-0.841908820923879
419,2089,FDP,#4169E1,2,32,43,-1.15674886802612,0.910783883935858
420,2090,CVP,#FFA500,3,37,38,-0.622116710110901,0.406767692291933
421,2091,CVP,#FFA500,3,37,38,-0.735875447302617,0.537828025666207
422,2092,CVP,#FFA500,3,39,36,-0.374344924483208,-0.968300914449119
423,2095,FDP,#4169E1,2,32,43,-1.15421473345313,0.87648692351525
424,2097,BDP,#800020,5,38,37,-0.278205901643106,0.193026103681247
425,2098,BDP,#800020,5,50,25,0.0957892663080298,-0.0820465208792473
426,2099,SP,#FF0000,1,51,24,0.991141437349208,0.161328814136534
427,2100,SP,#FF0000,1,48,27,2.03265729979927,1.26424078349088
428,2101,SP,#FF0000,1,46,29,1.16854359771343,-0.0210783114302472
429,2102,SP,#FF0000,1,45,30,1.27052355677882,0.0748455945097366
430,2103,SP,#FF0000,1,46,29,1.74927475157059,0.814998164278249
431,2104,SP,#FF0000,1,46,29,1.29025886297985,0.691969191871681
432,2105,SP,#FF0000,1,45,30,1.81423625507635,0.152262387371139
433,2106,SVP,#006400,0,31,44,-1.53920358341154,-0.802483449468666
434,2107,SVP,#006400,0,31,44,-1.62394340239178,-0.782385881906317
435,2110,SVP,#006400,0,30,45,-1.64886313465723,-1.00802565793817
436,2111,glp,#32CD32,6,41,34,-0.560164711230003,2.15581943125923
437,2112,SVP,#006400,0,35,40,-0.599214187026802,-1.25516595217249
438,2113,SP,#FF0000,1,50,25,1.38272771832414,0.775867703751726
439,2114,FDP,#4169E1,2,28,47,-0.946272185577973,-0.332488082406831
440,2119,SVP,#006400,0,35,40,-0.904420318645912,-1.12383557671007
441,2122,CVP,#FFA500,3,41,34,-0.370367012310586,0.640870142944344
443,2124,glp,#32CD32,6,47,28,-0.366210713500374,0.645641250444632
444,2125,glp,#32CD32,6,50,25,-0.255917835043271,2.06981930087295
445,2126,glp,#32CD32,6,46,29,-0.384689808979446,1.38003824029408
446,2127,SVP,#006400,0,34,41,-1.04108915464155,-0.509958610904672
447,2128,FDP,#4169E1,2,51,24,-0.411018249345964,0.696723568006296
448,2137,glp,#32CD32,6,52,23,-0.0194094151303103,1.37714890865079
449,2138,glp,#32CD32,6,40,35,-0.445260597166048,1.57406964447537
450,2139,glp,#32CD32,6,40,35,-0.470859537398603,1.38024966023058
451,2140,SVP,#006400,0,33,42,-0.746144735953547,-2.31135932341376
452,2141,BDP,#800020,5,52,23,-0.236339034962768,0.0483362297321366
453,2142,glp,#32CD32,6,52,23,0.143061500147327,1.41230900150463
454,2143,Grüne,#008000,4,44,31,1.606681315692,0.193039513926261
455,2144,BDP,#800020,5,52,23,0.0020978101288568,-1.40168086185315
